row,scene_id,phase,consensus_tier,n_distinct_tiers,n_methods,tier_mean_pn,tier_median_pn,tier_max_pn,tier_top3_mean_pn,tier_pca_pc1,tier_kmeans3,tier_kmeans5,tier_kmeans8,tier_gmm3,tier_ward3,tier_dbscan
40,scene20.su.CHECKERBOARD,1,hard,3,11,hard,medium,hard,hard,hard,hard,medium,medium,medium,easy,degenerate
41,scene20.su.CHECKERBOARD,2,hard,3,11,hard,hard,medium,hard,hard,hard,medium,medium,medium,easy,degenerate
42,scene21.jo.4f,0,hard,3,11,easy,easy,hard,medium,hard,medium,hard,hard,medium,easy,degenerate
43,scene21.jo.4f,1,easy,2,11,easy,easy,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
44,scene21.jo.4f,2,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
45,scene22.jo.4f,0,easy,2,11,easy,easy,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
46,scene22.jo.4f,1,easy,3,11,easy,easy,hard,medium,easy,easy,easy,easy,easy,easy,degenerate
47,scene22.jo.4f,2,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
48,scene23.jo.4f,0,medium,3,11,easy,easy,medium,medium,hard,medium,hard,hard,medium,easy,degenerate
49,scene23.jo.4f,1,easy,2,11,easy,easy,hard,easy,easy,easy,easy,easy,easy,easy,degenerate
50,scene23.jo.4f,2,easy,2,11,easy,easy,medium,easy,easy,easy,easy,easy,easy,easy,degenerate
51,scene24.jo.4f,0,easy,3,11,easy,easy,hard,easy,medium,easy,easy,easy,easy,easy,degenerate
52,scene24.jo.4f,1,easy,2,11,easy,easy,hard,easy,easy,easy,easy,easy,easy,easy,degenerate
53,scene24.jo.4f,2,easy,2,11,easy,easy,medium,easy,medium,easy,easy,easy,easy,easy,degenerate
54,scene25.jo.4f,0,hard,3,11,easy,easy,hard,hard,hard,hard,medium,hard,medium,hard,degenerate
55,scene25.jo.4f,1,easy,3,11,easy,easy,medium,hard,medium,hard,easy,easy,medium,easy,degenerate
56,scene25.jo.4f,2,easy,2,11,easy,easy,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
57,scene26.gaming2.JUMBOTRONSTAGE,0,easy,3,11,hard,hard,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
58,scene26.gaming2.JUMBOTRONSTAGE,1,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
59,scene26.gaming2.JUMBOTRONSTAGE,2,easy,3,11,hard,hard,medium,medium,easy,easy,easy,medium,easy,easy,degenerate
60,scene27.gaming2.JUMBOTRONSTAGE,0,easy,3,11,hard,hard,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
61,scene27.gaming2.JUMBOTRONSTAGE,1,easy,3,11,easy,easy,hard,hard,easy,easy,easy,medium,easy,easy,degenerate
62,scene27.gaming2.JUMBOTRONSTAGE,2,easy,3,11,hard,hard,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
63,scene28.gaming2.JUMBOTRONSTAGE,0,easy,3,11,hard,hard,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
64,scene28.gaming2.JUMBOTRONSTAGE,1,easy,2,11,easy,easy,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
65,scene28.gaming2.JUMBOTRONSTAGE,2,easy,3,11,hard,medium,easy,medium,easy,easy,easy,easy,easy,easy,degenerate
66,scene29.gaming2.JUMBOTRONSTAGE,0,easy,2,11,medium,medium,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
67,scene29.gaming2.JUMBOTRONSTAGE,1,easy,2,11,easy,easy,easy,medium,easy,easy,easy,easy,easy,easy,degenerate
68,scene29.gaming2.JUMBOTRONSTAGE,2,easy,3,11,medium,hard,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
69,scene3.library.fountain,0,hard,3,11,medium,hard,hard,hard,hard,medium,hard,medium,medium,easy,degenerate
70,scene3.library.fountain,1,medium,3,11,medium,medium,easy,medium,hard,easy,easy,medium,medium,easy,degenerate
71,scene3.library.fountain,2,medium,2,11,medium,medium,medium,medium,medium,easy,easy,medium,medium,easy,degenerate
72,scene30.gaming2.JUMBOTRONSTAGE,0,easy,2,11,medium,medium,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
73,scene30.gaming2.JUMBOTRONSTAGE,1,easy,2,11,easy,easy,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
74,scene30.gaming2.JUMBOTRONSTAGE,2,easy,3,11,hard,hard,medium,easy,easy,easy,easy,easy,easy,easy,degenerate
75,scene31.ecss.3f.sofaNchairs,0,easy,2,11,easy,easy,easy,medium,medium,medium,easy,easy,easy,easy,degenerate
76,scene31.ecss.3f.sofaNchairs,1,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
77,scene31.ecss.3f.sofaNchairs,2,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
78,scene32.ecss.3f.sofaNchairs,0,easy,2,11,easy,easy,easy,easy,medium,medium,easy,easy,easy,easy,degenerate
79,scene32.ecss.3f.sofaNchairs,1,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
80,scene32.ecss.3f.sofaNchairs,2,easy,3,11,easy,easy,medium,hard,easy,easy,easy,easy,easy,easy,degenerate
81,scene33.ecss.3f.sofaNchairs,0,medium,3,11,medium,medium,medium,hard,medium,medium,easy,easy,easy,easy,degenerate
82,scene33.ecss.3f.sofaNchairs,1,easy,2,11,easy,easy,medium,easy,medium,easy,easy,easy,easy,easy,degenerate
83,scene33.ecss.3f.sofaNchairs,2,easy,2,11,medium,medium,medium,easy,medium,easy,easy,easy,easy,easy,degenerate
84,scene34.ecss.3f.sofaNchairs,0,easy,2,11,easy,easy,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
85,scene34.ecss.3f.sofaNchairs,1,easy,2,11,easy,easy,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
86,scene34.ecss.3f.sofaNchairs,2,easy,2,11,medium,medium,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
87,scene35.ecss.3f.sofaNchairs,0,easy,3,11,easy,hard,easy,easy,medium,medium,easy,easy,easy,easy,degenerate
88,scene35.ecss.3f.sofaNchairs,1,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
89,scene35.ecss.3f.sofaNchairs,2,easy,2,11,easy,easy,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
90,scene36.jo.4f,0,easy,2,11,medium,medium,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
91,scene36.jo.4f,1,easy,2,11,medium,medium,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
92,scene36.jo.4f,2,easy,3,11,hard,hard,easy,medium,medium,easy,easy,easy,easy,easy,degenerate
93,scene37.jo.4f,0,easy,2,11,medium,medium,easy,easy,medium,medium,easy,easy,easy,easy,degenerate
94,scene37.jo.4f,1,easy,2,11,easy,easy,hard,easy,easy,easy,easy,easy,easy,easy,degenerate
95,scene37.jo.4f,2,easy,2,11,medium,medium,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
96,scene38.jo.4f,0,hard,3,11,medium,easy,hard,hard,hard,medium,hard,hard,medium,easy,degenerate
97,scene38.jo.4f,1,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
98,scene38.jo.4f,2,easy,2,11,hard,hard,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
99,scene39.jo.4f,0,hard,2,11,hard,hard,hard,hard,hard,hard,medium,hard,medium,hard,degenerate
100,scene39.jo.4f,1,easy,3,11,easy,easy,easy,medium,hard,hard,medium,medium,medium,easy,degenerate
101,scene39.jo.4f,2,easy,3,11,hard,hard,easy,medium,medium,easy,easy,easy,easy,easy,degenerate
102,scene4.library.fountain,0,medium,3,11,medium,medium,medium,hard,hard,medium,hard,medium,medium,easy,degenerate
103,scene4.library.fountain,1,medium,3,11,medium,medium,easy,medium,hard,easy,easy,medium,medium,easy,degenerate
104,scene4.library.fountain,2,easy,3,11,easy,easy,medium,hard,medium,easy,easy,medium,medium,easy,degenerate
105,scene40.jo.4f,0,easy,3,11,hard,hard,easy,medium,medium,medium,easy,easy,easy,easy,degenerate
106,scene40.jo.4f,1,easy,2,11,hard,hard,hard,easy,easy,easy,easy,easy,easy,easy,degenerate
107,scene40.jo.4f,2,easy,3,11,hard,hard,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
108,scene41.gh.out,0,hard,3,11,hard,hard,medium,hard,hard,medium,hard,hard,medium,easy,degenerate
109,scene41.gh.out,1,hard,3,11,medium,hard,hard,hard,hard,medium,hard,medium,medium,easy,degenerate
110,scene41.gh.out,2,medium,3,11,hard,medium,medium,medium,hard,medium,hard,medium,medium,easy,degenerate
111,scene42.gh.out,0,hard,3,11,hard,hard,easy,medium,hard,medium,hard,medium,medium,easy,degenerate
112,scene42.gh.out,1,hard,3,11,hard,hard,medium,hard,hard,medium,hard,medium,medium,easy,degenerate
113,scene42.gh.out,2,hard,3,11,hard,hard,medium,hard,hard,medium,hard,medium,medium,easy,degenerate
114,scene43.gh.out,0,hard,3,11,hard,hard,medium,hard,hard,medium,hard,hard,medium,easy,degenerate
115,scene43.gh.out,1,hard,3,11,hard,medium,hard,hard,hard,medium,hard,medium,hard,easy,degenerate
116,scene43.gh.out,2,hard,3,11,hard,hard,medium,hard,hard,medium,hard,hard,hard,easy,degenerate
117,scene44.gh.out,0,medium,3,11,hard,medium,medium,medium,hard,medium,hard,medium,medium,easy,degenerate
118,scene44.gh.out,1,hard,2,11,hard,hard,hard,hard,hard,hard,medium,medium,medium,hard,degenerate
119,scene44.gh.out,2,hard,3,11,hard,hard,hard,hard,hard,medium,hard,medium,medium,easy,degenerate
120,scene45.gh.out,0,hard,3,11,hard,hard,hard,hard,hard,medium,hard,medium,hard,easy,degenerate
121,scene45.gh.out,1,hard,2,11,hard,hard,hard,hard,hard,hard,medium,medium,medium,hard,degenerate
122,scene45.gh.out,2,hard,3,11,hard,hard,hard,hard,hard,medium,hard,medium,medium,easy,degenerate
123,scene46.ecss.out.stairs,0,easy,3,11,medium,medium,hard,easy,medium,easy,easy,easy,easy,easy,degenerate
124,scene46.ecss.out.stairs,1,medium,3,11,medium,medium,hard,hard,hard,hard,medium,medium,medium,easy,degenerate
125,scene46.ecss.out.stairs,2,easy,3,11,medium,medium,hard,hard,easy,easy,easy,easy,easy,easy,degenerate
126,scene47.ecss.out.stairs,0,hard,3,11,hard,hard,hard,hard,hard,medium,hard,hard,medium,easy,degenerate
127,scene47.ecss.out.stairs,1,easy,3,11,easy,easy,hard,medium,medium,easy,easy,easy,easy,easy,degenerate
128,scene47.ecss.out.stairs,2,easy,3,11,easy,easy,hard,medium,easy,easy,easy,easy,easy,easy,degenerate
129,scene48.ecss.out.stairs,0,medium,2,11,medium,medium,medium,medium,medium,easy,easy,easy,easy,easy,degenerate
130,scene48.ecss.out.stairs,1,medium,2,11,medium,medium,medium,medium,medium,easy,easy,easy,easy,easy,degenerate
131,scene48.ecss.out.stairs,2,easy,2,11,easy,easy,medium,easy,easy,easy,easy,easy,easy,easy,degenerate
132,scene49.ecss.out.stairs,0,easy,3,11,hard,hard,hard,medium,medium,easy,easy,easy,easy,easy,degenerate
133,scene49.ecss.out.stairs,1,easy,3,11,hard,medium,medium,medium,medium,easy,easy,easy,easy,easy,degenerate
134,scene49.ecss.out.stairs,2,easy,3,11,hard,hard,medium,medium,medium,easy,easy,easy,easy,easy,degenerate
135,scene5.library.fountain,0,hard,3,11,hard,hard,hard,hard,hard,medium,hard,medium,medium,easy,degenerate
136,scene5.library.fountain,1,hard,3,11,medium,easy,hard,hard,hard,hard,medium,medium,medium,hard,degenerate
137,scene5.library.fountain,2,hard,3,11,medium,hard,hard,hard,hard,easy,easy,medium,medium,easy,degenerate
138,scene50.ecss.out.stairs,0,medium,2,11,medium,medium,medium,medium,medium,easy,easy,easy,easy,easy,degenerate
139,scene50.ecss.out.stairs,1,medium,2,11,medium,medium,medium,medium,medium,easy,easy,easy,medium,easy,degenerate
140,scene50.ecss.out.stairs,2,medium,2,11,medium,medium,medium,medium,medium,easy,easy,easy,easy,easy,degenerate
141,scene51.TENNISCOURTS.Ground,0,easy,2,11,easy,easy,easy,easy,medium,medium,easy,easy,easy,easy,degenerate
142,scene51.TENNISCOURTS.Ground,1,easy,2,11,easy,easy,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
143,scene51.TENNISCOURTS.Ground,2,easy,2,11,easy,easy,hard,hard,easy,easy,easy,easy,easy,easy,degenerate
144,scene52.TENNISCOURTS.Ground,0,medium,2,11,medium,medium,medium,medium,medium,medium,easy,easy,easy,easy,degenerate
145,scene52.TENNISCOURTS.Ground,1,medium,3,11,medium,medium,easy,medium,hard,hard,medium,medium,medium,easy,degenerate
146,scene52.TENNISCOURTS.Ground,2,easy,2,11,medium,medium,easy,medium,easy,easy,easy,easy,easy,easy,degenerate
147,scene53.TENNISCOURTS.Ground,0,easy,2,11,easy,easy,hard,hard,easy,easy,easy,easy,easy,easy,degenerate
148,scene53.TENNISCOURTS.Ground,1,easy,3,11,medium,medium,hard,medium,easy,easy,easy,easy,easy,easy,degenerate
149,scene53.TENNISCOURTS.Ground,2,easy,3,11,medium,easy,hard,hard,easy,easy,easy,easy,easy,easy,degenerate
150,scene54.TENNISCOURTS.Ground,0,easy,2,11,easy,easy,easy,easy,medium,medium,easy,easy,easy,easy,degenerate
151,scene54.TENNISCOURTS.Ground,1,easy,2,11,medium,medium,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
152,scene54.TENNISCOURTS.Ground,2,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
153,scene55.TENNISCOURTS.Ground,0,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
154,scene55.TENNISCOURTS.Ground,1,easy,3,11,easy,easy,hard,medium,medium,easy,easy,easy,medium,easy,degenerate
155,scene55.TENNISCOURTS.Ground,2,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
156,scene56.jsom.atrium,0,hard,3,11,medium,easy,hard,hard,hard,medium,hard,hard,hard,easy,degenerate
157,scene56.jsom.atrium,1,easy,2,11,easy,easy,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
158,scene56.jsom.atrium,2,hard,3,11,hard,hard,hard,hard,medium,medium,easy,easy,easy,easy,degenerate
159,scene57.jsom.atrium,0,easy,3,11,easy,easy,hard,medium,medium,medium,easy,easy,easy,easy,degenerate
160,scene57.jsom.atrium,1,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
161,scene57.jsom.atrium,2,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
162,scene59.jsom.atrium,0,medium,3,11,easy,easy,medium,medium,medium,medium,hard,hard,medium,easy,degenerate
163,scene59.jsom.atrium,1,easy,3,11,medium,medium,hard,easy,medium,easy,easy,easy,easy,easy,degenerate
164,scene59.jsom.atrium,2,easy,3,11,medium,easy,hard,medium,easy,easy,easy,easy,easy,easy,degenerate
165,scene6.ecsn.4f.sofa,0,hard,3,11,medium,medium,hard,hard,hard,medium,hard,hard,medium,easy,degenerate
166,scene6.ecsn.4f.sofa,1,easy,3,11,easy,easy,hard,hard,easy,easy,easy,medium,easy,easy,degenerate
167,scene6.ecsn.4f.sofa,2,medium,2,11,medium,medium,medium,medium,easy,easy,easy,medium,easy,easy,degenerate
168,scene60.jsom.atrium,0,hard,3,11,easy,easy,hard,hard,hard,medium,hard,hard,hard,easy,degenerate
169,scene60.jsom.atrium,1,easy,2,11,medium,medium,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
170,scene60.jsom.atrium,2,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
171,scene61.ecsw.axxess-atrium,0,hard,3,11,hard,hard,hard,hard,hard,medium,hard,hard,medium,easy,degenerate
172,scene61.ecsw.axxess-atrium,1,hard,3,11,hard,hard,medium,hard,hard,easy,easy,medium,easy,easy,degenerate
173,scene61.ecsw.axxess-atrium,2,hard,3,11,hard,hard,hard,hard,medium,easy,easy,medium,easy,easy,degenerate
174,scene62.ecsw.axxess-atrium,0,easy,3,11,hard,hard,medium,hard,medium,easy,easy,medium,easy,easy,degenerate
175,scene62.ecsw.axxess-atrium,1,hard,3,11,hard,hard,hard,hard,hard,hard,easy,medium,medium,easy,degenerate
176,scene62.ecsw.axxess-atrium,2,hard,3,11,hard,hard,hard,hard,medium,easy,easy,medium,easy,easy,degenerate
177,scene63.ecsw.axxess-atrium,0,hard,2,11,hard,hard,hard,hard,hard,hard,medium,hard,medium,hard,degenerate
178,scene63.ecsw.axxess-atrium,1,hard,3,11,hard,hard,hard,hard,medium,easy,easy,medium,easy,easy,degenerate
179,scene63.ecsw.axxess-atrium,2,easy,3,11,hard,hard,hard,hard,easy,easy,easy,medium,easy,easy,degenerate
180,scene64.ecsw.axxess-atrium,0,medium,2,11,medium,medium,medium,medium,easy,easy,easy,medium,easy,easy,degenerate
181,scene64.ecsw.axxess-atrium,1,medium,3,11,hard,medium,medium,medium,medium,easy,easy,medium,easy,easy,degenerate
182,scene64.ecsw.axxess-atrium,2,easy,3,11,hard,medium,medium,hard,easy,easy,easy,medium,easy,easy,degenerate
183,scene65.ecsw.axxess-atrium,0,medium,3,11,hard,hard,easy,medium,medium,medium,hard,medium,medium,easy,degenerate
184,scene65.ecsw.axxess-atrium,1,easy,3,11,hard,hard,hard,hard,easy,easy,easy,medium,easy,easy,degenerate
185,scene65.ecsw.axxess-atrium,2,easy,3,11,hard,medium,hard,hard,easy,easy,easy,medium,easy,easy,degenerate
186,scene66.ecsw.3f.dept,0,easy,2,11,medium,medium,medium,easy,easy,easy,easy,medium,easy,easy,degenerate
187,scene66.ecsw.3f.dept,1,easy,3,11,easy,easy,hard,hard,easy,easy,easy,medium,easy,easy,degenerate
188,scene66.ecsw.3f.dept,2,medium,3,11,medium,medium,hard,hard,medium,easy,easy,medium,easy,easy,degenerate
189,scene67.ecsw.3f.dept,0,hard,3,11,hard,hard,hard,medium,hard,medium,hard,hard,medium,easy,degenerate
190,scene67.ecsw.3f.dept,1,easy,3,11,medium,hard,hard,hard,easy,easy,easy,medium,easy,easy,degenerate
191,scene67.ecsw.3f.dept,2,medium,3,11,medium,medium,hard,medium,medium,easy,easy,medium,easy,easy,degenerate
192,scene68.ecsw.3f.dept,0,easy,2,11,easy,medium,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
193,scene68.ecsw.3f.dept,1,easy,3,11,medium,medium,hard,hard,easy,easy,easy,medium,easy,easy,degenerate
194,scene68.ecsw.3f.dept,2,easy,2,11,medium,easy,medium,medium,easy,easy,easy,medium,easy,easy,degenerate
195,scene69.ecsw.3f.dept,0,easy,2,11,medium,medium,easy,easy,medium,easy,easy,medium,easy,easy,degenerate
196,scene69.ecsw.3f.dept,1,easy,3,11,medium,medium,hard,hard,easy,easy,easy,medium,easy,easy,degenerate
197,scene69.ecsw.3f.dept,2,easy,3,11,medium,medium,hard,hard,easy,easy,easy,medium,easy,easy,degenerate
198,scene7.ecsn.4f.sofa,0,medium,3,11,hard,medium,medium,medium,hard,medium,hard,hard,medium,easy,degenerate
199,scene7.ecsn.4f.sofa,1,medium,3,11,medium,medium,medium,medium,hard,hard,easy,medium,medium,easy,degenerate
200,scene7.ecsn.4f.sofa,2,medium,3,11,medium,medium,hard,hard,medium,easy,easy,medium,easy,easy,degenerate
201,scene70.ecsw.3f.dept,0,easy,2,11,medium,medium,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
202,scene70.ecsw.3f.dept,1,hard,3,11,hard,hard,hard,hard,hard,hard,medium,medium,medium,easy,degenerate
203,scene70.ecsw.3f.dept,2,medium,3,11,hard,medium,medium,hard,medium,hard,easy,medium,medium,easy,degenerate
204,scene71.ecsw.atriumStairs,0,easy,2,11,easy,easy,easy,easy,medium,medium,easy,easy,easy,easy,degenerate
205,scene71.ecsw.atriumStairs,1,easy,2,11,easy,easy,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
206,scene71.ecsw.atriumStairs,2,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
207,scene72.ecsw.atriumStairs,0,easy,2,11,easy,easy,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
208,scene72.ecsw.atriumStairs,1,easy,3,11,easy,easy,easy,easy,hard,easy,easy,easy,medium,easy,degenerate
209,scene72.ecsw.atriumStairs,2,medium,3,11,easy,medium,medium,medium,hard,hard,medium,medium,medium,easy,degenerate
210,scene73.ecsw.atriumStairs,0,easy,2,11,easy,easy,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
211,scene73.ecsw.atriumStairs,1,easy,3,11,easy,easy,easy,easy,hard,easy,easy,easy,medium,easy,degenerate
212,scene73.ecsw.atriumStairs,2,easy,2,11,easy,easy,easy,easy,medium,easy,easy,easy,medium,easy,degenerate
213,scene74.ecsw.atriumStairs,0,medium,3,11,medium,easy,hard,medium,hard,medium,hard,medium,medium,hard,degenerate
214,scene74.ecsw.atriumStairs,1,hard,3,11,medium,hard,hard,hard,hard,easy,medium,easy,hard,medium,degenerate
215,scene74.ecsw.atriumStairs,2,easy,2,11,easy,medium,medium,easy,medium,easy,easy,easy,easy,easy,degenerate
216,scene75.ecsw.atriumStairs,0,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
217,scene75.ecsw.atriumStairs,1,easy,2,11,easy,easy,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
218,scene75.ecsw.atriumStairs,2,medium,3,11,easy,medium,hard,easy,hard,hard,medium,medium,medium,hard,degenerate
219,scene76.gaming2,0,medium,3,11,hard,hard,easy,medium,medium,medium,hard,easy,medium,easy,degenerate
220,scene76.gaming2,1,easy,2,11,easy,easy,easy,medium,easy,easy,easy,easy,easy,easy,degenerate
221,scene76.gaming2,2,easy,3,11,hard,medium,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
222,scene77.gaming2,0,easy,2,11,medium,medium,easy,easy,medium,medium,easy,easy,easy,easy,degenerate
223,scene77.gaming2,1,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
224,scene77.gaming2,2,easy,2,11,medium,medium,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
225,scene78.gaming2,0,medium,2,11,medium,medium,medium,medium,medium,medium,easy,easy,easy,easy,degenerate
226,scene78.gaming2,1,easy,2,11,easy,easy,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
