source_catalog_id,object_name,object_id,global_object_id,sos_data_path,questionnaire_path
125,sponge,sponge,61,objects/sponge/,objects_meta/sponge/questionnaire.json
127.2,spray_bottle,spray_bottle.2,62,objects/spray_bottle.2/,objects_meta/spray_bottle.2/questionnaire.json
133.2,t-handle,t-handle.2,63,objects/t-handle.2/,objects_meta/t-handle.2/questionnaire.json
135,tape_measure,tape_measure,64,objects/tape_measure/,objects_meta/tape_measure/questionnaire.json
137,teapot,teapot,65,objects/teapot/,objects_meta/teapot/questionnaire.json
141,tong,tong,66,objects/tong/,objects_meta/tong/questionnaire.json
142,toothpaste,toothpaste,67,objects/toothpaste/,objects_meta/toothpaste/questionnaire.json
144.2,towel,towel.2,68,objects/towel.2/,objects_meta/towel.2/questionnaire.json
147,umbrella,umbrella,69,objects/umbrella/,objects_meta/umbrella/questionnaire.json
148.2,water_bottle,water_bottle.2,70,objects/water_bottle.2/,objects_meta/water_bottle.2/questionnaire.json
